epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
5,,3189,,0.010402972809970379,,,,,
,0.003,3199,,,,,,,
5,,3199,,0.015351290814578533,,,,,
,0.003,3209,,,,,,,
5,,3209,,0.01447849627584219,,,,,
,0.003,3219,,,,,,,
5,,3219,,0.015019617043435574,,,,,
,0.003,3229,,,,,,,
5,,3229,,0.013414757326245308,,,,,
,0.003,3239,,,,,,,
5,,3239,,0.016015563160181046,,,,,
,0.003,3249,,,,,,,
5,,3249,,0.010479090735316277,,,,,
,0.003,3259,,,,,,,
5,,3259,,0.01761132851243019,,,,,
,0.003,3269,,,,,,,
5,,3269,,0.012110342271625996,,,,,
,0.003,3279,,,,,,,
5,,3279,,0.011752204969525337,,,,,
,0.003,3289,,,,,,,
5,,3289,,0.013549349270761013,,,,,
,0.003,3299,,,,,,,
5,,3299,,0.01330375112593174,,,,,
,0.003,3309,,,,,,,
5,,3309,,0.016935031861066818,,,,,
,0.003,3319,,,,,,,
5,,3319,,0.01569099724292755,,,,,
,0.003,3329,,,,,,,
5,,3329,,0.012921866960823536,,,,,
,0.003,3339,,,,,,,
5,,3339,,0.01097765751183033,,,,,
,0.003,3349,,,,,,,
5,,3349,,0.013202252797782421,,,,,
,0.003,3359,,,,,,,
5,,3359,,0.01642674207687378,,,,,
,0.003,3369,,,,,,,
5,,3369,,0.01586647517979145,,,,,
5,,3371,,,0.0752178505063057,0.22886241972446442,0.14079277217388153,0.16603924334049225,0.05738668888807297
5,,3371,0.014341693371534348,,,,,,
,0.003,3379,,,,,,,
6,,3379,,0.01777494326233864,,,,,
,0.003,3389,,,,,,,
6,,3389,,0.012676765210926533,,,,,
,0.003,3399,,,,,,,
6,,3399,,0.014348948374390602,,,,,
,0.003,3409,,,,,,,
6,,3409,,0.014253363944590092,,,,,
,0.003,3419,,,,,,,
6,,3419,,0.014246230944991112,,,,,
,0.003,3429,,,,,,,
6,,3429,,0.01603086106479168,,,,,
,0.003,3439,,,,,,,
6,,3439,,0.013159946538507938,,,,,
,0.003,3449,,,,,,,
6,,3449,,0.01693955436348915,,,,,
,0.003,3459,,,,,,,
6,,3459,,0.012452412396669388,,,,,
,0.003,3469,,,,,,,
6,,3469,,0.011554448865354061,,,,,
,0.003,3479,,,,,,,
6,,3479,,0.016352547332644463,,,,,
,0.003,3489,,,,,,,
6,,3489,,0.011308678425848484,,,,,
,0.003,3499,,,,,,,
6,,3499,,0.015126253478229046,,,,,
,0.003,3509,,,,,,,
6,,3509,,0.01655752770602703,,,,,
,0.003,3519,,,,,,,
6,,3519,,0.01571570709347725,,,,,
,0.003,3529,,,,,,,
6,,3529,,0.015213792212307453,,,,,
,0.003,3539,,,,,,,
6,,3539,,0.015029451809823513,,,,,
,0.003,3549,,,,,,,
6,,3549,,0.018125226721167564,,,,,
,0.003,3559,,,,,,,
6,,3559,,0.015318365767598152,,,,,
,0.003,3569,,,,,,,
6,,3569,,0.014218060299754143,,,,,
,0.003,3579,,,,,,,
6,,3579,,0.011548006907105446,,,,,
,0.003,3589,,,,,,,
6,,3589,,0.010658564046025276,,,,,
,0.003,3599,,,,,,,
6,,3599,,0.010508199222385883,,,,,
,0.003,3609,,,,,,,
6,,3609,,0.015853455290198326,,,,,
,0.003,3619,,,,,,,
6,,3619,,0.011868404224514961,,,,,
,0.003,3629,,,,,,,
6,,3629,,0.015411444939672947,,,,,
,0.003,3639,,,,,,,
6,,3639,,0.014114141464233398,,,,,
,0.003,3649,,,,,,,
6,,3649,,0.010948927141726017,,,,,
,0.003,3659,,,,,,,
6,,3659,,0.011561705730855465,,,,,
,0.003,3669,,,,,,,
6,,3669,,0.01355455070734024,,,,,
